input,output
there's something deeply moving about it.,こう 感慨深いものが あるよね。
you shoot me i'll fuckin' kill you!,俺を撃ったらお前を殺す
"flushing meadows, corona park world fair!",フラッシングメドウズ コロナパーク万博!
it would seem i didn't have time to get credentials for my associate.,私には時間がないんだ 私の同僚の為に 信任状を取ってくれないか
will you marry me?,アタシと結婚してくれますか
let it go? i am nowhere near letting it go.,まだ終わってないわ
switch all power to front deflector screen. switch all power to front deflector screen.,前面の偏向スクリーンに 全パワーを切り替えろ
those who think in the intuitive manner cannot.,直感的思考段階の子どもは 答えられない
and i wanted to speak with you about your future.,君の未来について 話したかった
they're moving him to the hangar.,格納庫に彼を移動させている
"huh? well, because...",この想い輝くから
you take your hands off her!,彼女から手を離せ!
they name it the world's bestdesigned newspaper.,世界一素晴らしいデザインの新聞と謳われたのです
he was a good man..,善良な人間だった
i can special summon the turner monster quick synchron!,チューナーモンスター クイック・シンクロンを 特殊召喚!
"with that, i started thinking.",そこで まず 俺は思った。
i'm coming back.,必ず戻るよ
the heart that was transplanted into your chest...,あんたの その胸に 移植された心臓は
db is the name of the product,「db」って製品名ですが 要するに
"and her lip quivered and, i just...",彼女は唇が震えてるし... 待って...
cabin?,小屋って?
magical feeling when they see dolphins in the surf.,女性は男性よりも 「魔法にかかった気持ち」になりやすく
you are also the real you?,あなたも 本物ね?
"that's all day. let's play some d, let's play some defense.",] ディフェンスしろ ディフェンス!
"with just teamwork, right?",あるかもしれないでしょ。
that are full of understanding.,素晴らしい意思疎通が得られます
"come here, come here!",来い! ・・
oh th.. this?,ああ こっ これ?
gonna pour you a drink.,ワイン注ぐわね
how was? how was? good!,どうでした? どうでした?うまい!
"get to the children, get to the mothers",つまり まず取り組むべきは子供達や母親であり
i'm gonna start looking.,見てみるわ
"i can play games whenever i want, and read manga all i like.",≪好きなときにゲームをし 好きなだけマンガが読める
"if human beings disappeared, life on earth as we know it would flourish.",今こそ農業に対する新しい構想を受け入れなければいけません
"the reason is, we have sort of a builtin poison detector.",ヒトにはいわば毒探知機が備わっているのが理由です
"no, not really, no.",君は殺人犯を雇っていたのかもな
eh? i don't understand a thing of what you're saying.,何が? 全然 話が見えないよ。
"so if you have 1,000 species",1000種の生物がいるとすれば
"it's like going to a game park, an extinct game park.",そこは まるで自然動物保護区です― それも絶滅した
"that's enough, really.",もういいです 本当に。
i'm scared of myself... i'm a monster.,化け物の私が...。
so wouldn't it be nice,技術を学びそれを実践 できるような場が身近にあれば
i wonder what it is?,なんだろう
"no, why?",いや、なぜだい?
sing a song about war,グリゴーリイ 俺達を助けてくれ
and specializes in lgbt health.,lgbt専門の医師を 見つけたいと言っています
tanegashi machine 3 kai wins in a major upset!,タネガシマシン3改 大番狂わせ
it's milverton's.,あれはミルヴァートンのものだ
we are working with the base's maintenance depot to repair our units in a more timely manner.,艦載機の修理は 基地の整備工場と連携して遅れを取り戻しています
i was able to safely come back alive today,私が本日 このように無事に戻ってこれたのは
"oh, shh, shh.","Oh, shh, shh."
"it's too close, man.",現場は閉鎖されています
which means that theres no place,つまり 宇宙の外に何かを
did you eat or drink anything in the last hour?,1時間以内に何か飲んだり食べたりしたか?
"mr. bauer, you have a phone call.",mr. バウアー大統領から電話です
i still think you're nuts. but not as nuts as i thought.,私はまだあなたが正気でないと思っていますが、前程ではありません」
i knew i could trust you to protect me from them.,あなたは 信頼できるって分かってた
i'm going home. yuika didn't come today,帰るわ 今日 優衣華 来ないんでしょ
mental disease.,精神疾患に強迫観念
he did?,本当か?
i will suck spirit pressure.,霊圧を吸われちゃうからね。
"do me a favor first, okay?",ひとまず今 大事なお願いがあるんだ
we got confirmation from the field that your daughter died ten minutes ago from a gunshot wound.,現場の人間に 確認しました 撃たれて 10分前に亡くなられたと・・・
like a banana with a yeast infection.,イースト菌に感染したバナナだ
they are lost forever.,人生における時間の大半です
then why no?,ではなぜ... ?
isn't there anything we can do?,おじちゃん...。 それは できない。
you mean the harem that just figured out they're a harem?,ハーレムだって考えてるのね? ハーレムだわね ええそういうこと
get me captain mike faber at the pentagon.,国防省のマイク フェイバー大佐を
i'll make it very pretty and shock aoisan.,すっごく きれいにして 葵さんを驚かせてやります。
my body is like a lump of esper power.,搬运尸体以及消除证据就由我这边来处理
i was the only one who could make that connection.,そのつながりを知っているのは 私だけだから
gushes a bland of sweet and sourness that fills my mouth!,口いっぱいに広がる 中途半端な甘味と酸味》
"and we're discovering, with our research",そして 研究でわかってきているのですが
"wow, this is so cool!",浮かんだ!? わぁ すげえ~っ!
and the curve that we're on means that this is going to continue,さらなる発展への過渡期であることを
different morphologies of neurons,形態の異なるニューロンがあっても、
and she looks an awful lot like that photograph in your locker.,ロッカーに貼ってあった 写真にそっくり
left! left! left!,際どい左が頭上をかすめる!
children are not parents' possessions.,何だよ それ 子供は親の所有物じゃないのに
she's a person who can really understand other people's feelings.,人の気持が すっごく よく分かる子だから
it's sort of dullcolored. and it's fairly common.,色も微妙ですし ありふれてますよね
we also studied vineet nayar at hcl technologies,インドのアウトソーシング会社である hclテクノロジーズの
commodity prices at the borders have shot up,国境の商品の値段が急上昇して
changes everything at work.,仕事がすべて変わります
yeah.,レーサーなんです
"kuroki reported that his partner, inaba, was shot dead during the investigation.",うちの黒木からは 捜査中に部下の稲葉を
"well, that's an illegal vehicle checkpoint on the six one one, corporal pearson.",あれは611の違法検問所だ 伍長
"as expected, ikemi tsukkomi is sharp! it's raining.",さすが 一護 ツッコミが鋭いな! 雨竜だ。
i'm animal's courtappointed sponsor,俺は アニマルの公選保証人
i never stopped.,信じ続ける
grandpa died when i was small...,おじいちゃんは 私が小さいときに亡くなって
and to talk to you about a subject dear to my heart,私の大好きなテーマである
i wouldn't sweat it.,強要はしないわ
i gave you this.,これを渡しただろ
you work in two hours.,あなたは2時間で働いています。
"trust me, when you sat up, they were just as surprised as the rest of us.",残りの俺たちと同じくらい 奴らも驚いてたんだ
but the target number is anonymous.,相手は匿名だ
a different type of money.,莫大な金額だ!
"your, uh, trees...",あなた達の木
"and for decades, i'm going",こういう状況は何が原因で
i thought you said it was bad everywhere.,どこも状況は悪いと言ってたはずだ
we have his consent to show it to you.,杉村さんに見せていいと 本人から了承を得ています
will you say that again? shit!,もう一度 言ってくれないか?
"also, you ate way more than me!",それと・・・君は僕よりも食べましたよ
serbia. i've got a netjet waiting for you at the local airport.,飛行機の予約は済んでます
colorado is the new california.,コロラドは、今、 カリフォルニアなんだ
you're weak.,弱いんだ
engage.,攻撃しろ
all the evidence on chamalla is anecdotal.,Chamallaの効果は偽りです
i find the connection between a shinigami and his materialized zanpakutou's relationship most fascinating.,死神と実体化した 斬魄刀の関係性というのも➡
i promise i'll give it back.,必ず返すわね
there is room at woodbury for aii of you.,ウッドベリーには みんなのための部屋もある
it is secreting gobs and gobs of milk,妊娠初期のマウスから採った細胞ですから 沢山のミルクを分泌しています
"in the year 1975, we started with the opening of wonder land. and",1975年にワンダーランドの開園と共に始まって
stoddard shot the whole thing down.,ストッダードは否決した
it wasn't easy convincing weapons research.,納得って...。
"so the first question, and you might want to write this down",では最初の問題です みなさん よかったら書いて下さい
is there a problem?,問題があるのか?
but she hasn't accepted me what i am.,真実の俺は 認めてくれない
"i came to see you, granny.",今日は何だ? おばあちゃんに会いにきたの
something i realized...,何かに気付いて...
i hope so. i'm finnegan. nice to meet you.,ええ フィネガンです よろしく
we'll not gonna let ye down.,このまま帰さねえぞ
"whoa, whoa, whoa... so, he's got a few flaws",♪ 問題もある
you'd best be on your way.,自分の道を行きなさい
i did it ! it was me... !,私がやったんだ! 私が...!
who the hell are you?,藤崎? 誰のことかな?
tide's coming in.,潮が満ちてきている
"thank you, dr. mashelkar.",ラクシュミ・プラタリー:ありがとうございます マシェルカー博士
"sauron, the enemy of the free peoples of middleearth, was defeated.",自由の民の敵 サウロンは倒された
"oh, here it is.",≫そうそう その炎が見たかった。
its not very important to me right now.,俺にとっちゃ それほど 重要なことじゃないんでな
the visitors are coming to save us from the apocalypse.,黙示録から私達を救う ビジターは既にいる
mouth of steel?,石の口ですか?
"but actually, uh, i've lost my memory.",実は その... 記憶をなくしてて
"there's a hole here, and i shut this.",ここにある穴を塞ぎますね
i think we can get there without the ship. alright.,行けると思います よし
and if mei and yui both want to go to university,芽衣と結衣が2人とも 東京の大学に行きたいって
i did.,もちろん...
something is missing. no...,何かが足りないいや...
the role?,役?
"i mean, how did you get into my house?",だいたいどうやって家に入ったんだよ
"well, it won't take long.",すぐ終わるわ M.
would you like to carry out a suicide attack?,シャーミーン:自爆テロをしたい?
we can get in a lot of trouble.,忍び込んで 起こさずに
you mean this?,受け入れるその意味を
"no. no, that's okay. i'm fine.",じゃあ いいわ
us! why us? you're the one who hired her.,あんたたち彼女に話してよ
"no, i don't, actually.",そうでもないが
you need to mix two sets of genes.,遺伝子と遺伝子を 混ぜ合わせてね!
that the earth is warming up.,膨大な証拠があります
"excuse me, two perfect specimens. gentlemen...",失礼 2人の完璧な人物です
"don't touch me, though. i want you to tell me.",やめてくれ 頼むから言って欲しい
was because the great god kashima was being absent.,決まって 大明神が不在のときなんだ。
"hey, jack.",やぁジャック。
which is advantageous for everybody... since our customers are anxious to avoid... attracting attention to themselves.,これは利点になる 顧客は自分たちが目立つのが 不安なんだ
"yes, sir.",これ 見てやってくれ はい
a pain in her ass.,博士にとってのa
"yeah, djs. deaf jews.",djうん、聴覚障害のユダヤ人。
i'm telling you,言っておく
let me be very clear,ここではっきりさせましょう
"oh, she came back.",おッ 帰ってきた
the clock is at 15 o'clock and the digital code at 14 o'clock.,時計は15時 デジタルコードは14時。
we need something to break the windows now.,窓を壊さなければ
that was all!,それだけよ!
"sullivan, assigned to plainclothes right out of the gate, congratulations.",「サリヴァン、門を出たら、私服に戻れる おめでとう」
you want to contact your mom?,母さんに連絡を取りたい?
and he was essentially cured.,この男はほとんど治ったのでした
"if you make such a happy expression, it makes me want to stay more.",そんな嬉しそうな顔されると 帰りたくなくなるじゃない
i beg your pardon?,どういうことですか?
we thought we were in a unipolar world,私たちは世界が一極化し
stop ordering me about. this isn't your home.,出てってよ
"good morning, okazaki.",おはようございます、岡崎さん
it was kind of low anyways.,金額が低かったから
i don't understand.,意味が分からないよ
whoa! he won again!,おお! また勝った!
"right now! tower control, this is jed.",管制塔 こちらジェド
i take it you'll be issuing an apology along with mr. donnelly's release.,ドネリー氏に謝罪して 釈放してちょうだい
"no no no, are you serious?",いやいやいや あれ マジっすか?
what? you mean sugayasan?,えっ? じゃあ 須賀谷さんが?
i was 5'4 till my senior year.,俺 高校4年の時まで 身長が160cmしかなくてな
come back.,戻れ
vamps could smell blood from miles off.,バンプはマイル離れていても 血の匂いがわかるんだ
even in other classes they don't have an handsome teacher,他のクラスにも イケメンの先生いたらいいけど
"in fact, yasuri shichika is under direct control of the strategian.",鑢 七花は 奇策士の直轄ですからね。
"arrested two years ago for assaulting a muslim with a baseball bat. all hail the king, baby.",2年前に逮捕した 野球のバットを持ったイスラム教徒 じゃあ 決まりだな
what are these strange boxes i see here.,こんなところに 変なものがあるわよ➡
very much.,とても感謝しています
i didn't know how i was going to get out of it,この状況から抜け出す方法はわからなかったけれど―
"at first, dad said he hates...",あっ 最初さ 写真 撮ろうっつったときに
ahh... i couldn't read him.,彼の心は 読めなかったな
and so modest. i guess i'm a modest mouse.,謙虚だわ
have a smoke.,一服しろよ
one man approached them with a small baby perched on his shoulder,ある男性が幼い子供を肩に抱えて 彼らに近づいてきました
"listen to your mother, nick.",母さんの言うことを
and out he comes with this girl who had no business being in a bar.,客とは思えない女と 彼は出てきた
get in the car,車に乗れ
ii can't help you.,無理だよ
if we can install these molecules in neurons somehow,この分子をどうにかしてニューロンに導入できれば
"hey,wait a minute. i'm not finished talking with you yet.",おい待て まだ俺の話は終わっちゃいないぞ
everything i've kept buried inside came rushing to the surface.,俺の内面に埋もれたもの 一度に表面化したのか
where is it? where's scylla?,スキュラはどこだ?
my mother writes a blog.,俺のお袋も書いてる
i'm walking out of the apple store,私がアップルストアから出てきたところに ある子どもが寄って来て
when you knew sugiuchi was the culprit?,どうしてこんな危ない真似を。
what did it say?,本当? いつ? 何で言わなかったの?
we find that each case each of the major transitions in life,生命に大きな変化が起こるときには -
i am all too familiar with the window reflection,不先问清楚这个的话可不好说
when i was getting ready to make the scheduled round.,定時の巡回に出ようとしたとき...。
now that you'll always be by his side.,これからは いつでも あんたが そばにいるんだから
we went from being able to have a virus that made a crummy battery,性能の悪い電池を作っていたウイルスが
"you are, as well.",さて お前はどちらで葬ってやろうか
it's impossible. their collective wisdom,それは不可能です。生徒たちの英知は
"yeah, let's roll. yeah, okay.",行こう
know what i'm saying?,聞 いてるのか?
what about emo mcgee?,エモマギーはどうしてる?
"thank you, floriana.","""ありがとう フローリアナ"""
"if it weren't for the miracles, we wouldn't have survived until now in this barren land.",僕達は今まで生き延びてはこられなかっただろうから
"tbag went crazy, he, he went nuts.",ティーバグがキレた。
i'll be out of the office for a bit.,少し外出するわ
please enjoy these during your break.,こういうのは 休み時間に見てください。
we must do all we can to make remittances,海外送金と移民の労働斡旋を より安全で安価なものにするため
are these the right thing you asked me to get?,頼まれたもの これで よろしかったでしょうか?
this thing called medical care at home.,在宅医療っていうのがあってさ
buchanan said you'd be up to speed.,最新情報は知ってるね
and fees for lecturers and instructors...,講師代とか楽器代とか
isn't just about foreign policy,それは 軍事予算のことであり
meteor buster attack!,x5! メテオバスター アタックだ!
"beth bridges, hello. i've been eager to meet you.",ベス・ブリッジズです どうも 会いたかったわ
called the taniyamashimura conjecture.,すばらしい予想を立てました
when i think of how you were when you first came here,初めてここに来た時のことを考えたら
"at a trot, forward march!",全速で突撃
"well, i have somewhere i need to go.",どこかうつらなその女の人が
she's all yours. thanks for waiting.,待たせたわね 作業を始めて
assisting in the bettering of your race.,何をする? 破滅させてやるぞ
i fell asleep.,眠っちゃったんだ
"besides eye strain, not much, boss.",取引があるようには・・
it's just a little foundation.,ねえ? ちょっと地塗りしただけだよ ダメ?
how come all the rich people are having,なぜ裕福な家の子は
really sick.,全くよ
what's all the fuss about?,一体何をしているのだ?と
"we're on a hairtrigger here, people.",大統領はアラビア湾と黄海に戦闘 部隊を送り出した
what is it?,これ何?
w what was that? did goku just do something?,もしかすると あれが悟空の言ってた...。
little kip has arrived just in time for monsoon season.,リトルキップはとうとう その時を迎えました モンスーンシーズン
then there should be nothing to disturb you,なら邪魔するものは何もないはず
could have something to do with why we're here.,関係がある 我々がここにいる理由と
we do the takedown when and only when i give the order.,俺達がいつ対等になったんだろうな
"no, thank you.",結構です。
"so in another case, anonymous vs. los zetas.",別の例としてアノニマスと ロス・セタスの抗争があります
"are you sure about that, makabesan?",それは確かですか? 真壁さん
but there's a way you can save me...,でも お姉ちゃんなら 僕を助けることができる
"oh, just to review.",う... うん。 復習をね...。
we interfered in a big way by making these animals go extinct,大いに介入して動物を絶滅に追い込み
they grew up on the same street in flatbush.,彼らはフラットブッシュの 同じ通りで育った
i'm not going in there with two jedi.,ジェダイ2人のところへ 行けませんよ
pursuing a kind of excellence in obscurity.,人知れず ある種の卓越性を 追い求めるのです
people have been hunting for this guy for a decade.,警察は 10年もこの男を追ってきたんだ
"no, it's okay. thank you, though.",いえ いいわ ありがとう
are you sleeping well?,皆さんは よく眠れているでしょうか
so what were you doing out here 21 years ago?,21年前にここで何を?
the disease i have... is it spinocerebellar degeneration?,わたしの病気って脊髄小脳変性症なんですか?
time's running out for me.,俺は もう時間切れだ
oh... you better be careful.,あってください注意する、Hati。
what's good here? it's an innocent question.,お勧めを聞いただけだ
"uh, and, uh, i'm here.",どうも え?
get to safety quickly!,ここは わしらに任せて 安全な所へ 早う!
'cause i didn't do it on purpose.,わざとやった事じゃないから。
so what happens?,何が起きたの?
i like that. you think you're making a problem for me?,ライバルを蹴落とすか、やるね このままで終わらんぞ
here you go. roundhay garden is on that. check it out.,"""ラウンドヘイ・ガーデン"" ルイスの最初の映画だ"
"this is the most important slide of my talk, so i'll dwell on it a little bit.",このスライドは一番重要だから入念に説明します
"autopsy, it is possible.",承諾解剖が可能な場合があります。
"you had to look out for yourself, huh?",独り歩きを せざるを得なかったんだね
"yeah, i guess.",そうだな
no good. i just can't win.,能誇獎我 好開心
"hehe went to sleep, and he never woke up.",眠ってから二度と起きなかったわ
the two are related because,この2つは関連しています
what's the general opinion? who did this? my guess?,じゃ一般的な話として 誰が犯人だと思う?
a stalker.,人知れず3年... ストーカー》
"to type in a whole lot of things, and to learn",さまざまな文をタイピングにより入力してもらい
norma here. do you read me?,ノーマだけど 聞こえる?
the mountain cats will come to drag away your bones,山ネコがあなたの骨を 咥えるだろう
is just simply not going to happen in time.,その変化は すぐには表れません
every single one of us matters.,一人一人の大切さを
it's not fear that grips him only a heightened sense of things.,捉えたのは恐れでなく 感覚の高揚だけだ
go! oh!,行って!
there is no reason for me to go.,行くわけないじゃないですか。
this is what happens when you take away,交通量を20%減らすと
"and i thought this would give me some courage, but all it's done is just make me feel a little bit sick.",勇気を出そうと飲んでみたけど 気持ち悪いだけ
reflect.,反映させてくれ
this... is how it's gonna be from here on out.,これは... 今回だけの物じゃない
"ice that's been frozen for several 100,000 years and is now part of the continent",何十万年も凍ったままで 大陸の一部と化してる
that is not a name. that's a number.,へんな名前だな
we're in agreement on the heart attack.,心臓発作という見解は一致してるが
so i said it was the cheapest and fastest way to do it,一番安上がりで手っ取り早いと 言いましたが
that cloud... there's got to be a crystallized crystal takigawa in there.,奇跡だろ これ! 滝川 クリスタル ソックリではないか!
you're a cute person.,えっと 可愛い人でしたっスよ
i don't think there's any way he could have followed me here.,ここまできたのは、あり得ない。
only if you mean it!,心が入っていればの話です。
yeah! it's the only memento of his that he left me!,たった1つの形見なんだぞ。
"and if you didn't speak korean, that's what you were watching.",韓国語が分からなければ 他に選択肢はありませんから
"this is a really basic, basic prosthetic limb under here.",この下には、すごくベーシックな義足になっているの
this tree... it survived.,この木は... 無事だったか。
frequent wireless contact.,常時無線を繋いでおけ
one more question.,もう1つ。
what about his phone?,彼の電話はどう?
it means my luck won't disappear as long as the sun is round and whole!,相変わらず激しいね。
nothing.,別に...
"those bruises, they from something that happened here?",アザがあるが それも関係が?
listen well!,聞けー 者共
all i am anymore is a man looking for his wife and son.,妻と息子を探す男以外 何者でもない
the location of his greatest achievement,彼の最大の成果のありか
"and so at last, mankind began the conquest... and colonization of deep space.",飛躍的に超光速を達成した そして、人類は 最後のフロンティア探査の旅に出た
"dude, she's dead!",おいママは死んだ !
why do you need to fuck me?,やめると言ったのも私よ
the bowls of wrath. he's done it.,"""怒りの鉢""だ"
something that doesn't belong.,何か飲み込んでる
ag: brilliant. thank you for asking a question,(オーブリー)素晴らしい 良い質問をありがとう
"even if i don't say it, you know right? no i don't.",言わなくても 分かるでしょ。 いや 分かんないでしょ。
"he doesn't return my phone calls, but i, i do know where his personal residence is.",電話に応えない だが住所は知ってる
sometimes have to be sublimated to other needs.,ほかの必要性のために制限されることがあると理解しなければいけません
she was. she went to take a nap and told the nurse not to wake her.,看護婦に 仮眠を取ると言ってた
"once more, lauda tries to sneak up the inside.",ラウダも再びインを狙う
"yep, although we only got bk201.",はい。 bk201だけですけど。
"we have to get this guy to a doctor. to medical attention, jack.",この男を 医者に診せないと
that's right! oh ... outside the area!,そうね!あ...圏外!
she's from behind the iron curtain.,彼女は鉄のカーテンの 向こう側から来た
it's about the cuban crisis,キューバ危機についてだ
and i think that we may need one or two ideas,意識を科学的に
"basically, it takes place in the hippocampus.",それは海馬の働きだ
you can get a flag from the landlocked nation,海に接していない国の 旗を掲げることもできます
"danny, answer us!",おい ダニー 返事しろ
one of my colleagues had his life completely upended,私の同僚の一人は
we let him shine for another 2000 years.,僕らは彼にあともう 二千年栄光に輝かせよう
"what compromise we have, whatever",妥協案を探りました
"i, um...",うーん...
maybe one time.,今回だけは
"so, i locked myself in a room",私は部屋に閉じこもり
i do not need this right now.,今すぐこんなことしなくていいのに
for no names and no info?,情報不足だ
i'll be out in five minutes. stand where i can see you.,仕事の話は5分で済む
"erinasan, i'm really sorry",エリナさん
by one door or the other.,この扉か もう一つの扉から
"might wanna go easy on him, sarge.",お手柔らかにした方がいい 軍曹
son of a dick.,えらいこった
she would drink her homogeneous wine,彼女は貴腐ワインを飲み 腐りかけの肉に舌鼓を打ち
i ain't never gonna be the same after this.,人格変わるかも
you can't do this... where is almeida?,おまえにはできない... アルメイダはどこ?
please keep them safe!,お願い 無事でいて!
"here, drink these.",さあ これを飲め
what's going on?,滅びゆこうとしていた>
and the lighting that we use these days looks something like this.,私達が最近使う照明の種類はこのようなものです
you're telling me the fucking c.i.a. thinks i'm working for alqaeda?,CIAは俺の事を アルカイダの一味だと?
"now it is. finally, hot water. no more toxic waste.",これだよ やっと清潔なお湯が出る
until they've hunted all of us down.,俺達を狩り尽くすまで
"actually, i made a reservation in this hotel.",実は このホテル 予約してあるんだ。
"hey, you just have to take it a little at a time.",あたしが作ったコントローラー 使わなかったの? ねえ...。
"hey, don't film that, man. he's one of us.",撮るなよ 同業だぞ
would you prefer smoking or nonsmoking?,禁煙席と喫煙席、どちらになさいますか?
a lot of people are more stupid than elementary school children,小学生以下の頭脳の
my name is tom,僕はトム
when certain preagreed upon conditions are met,第三者に情報が送られるのです
it turns out that competition and winning is a universal human value.,誰しもが競争と勝利に価値を感じることがわかります
the taller the twin peaks,2つの山は高くなり
not verbal thinks in pictures,言語ではありません 絵で考え
why doesn't the sofa go first?,ソファから片付けてやる
"yeah, what you got to do is you gotta go over grand central.",やった、何を行うようになったほど、 あなたがグランド・セントラルを越えるなきゃである。
"otherwise, the mountain would get sick.",でなきゃ山が病気になるって
"yeah, thanks, man.",ああ 頼む
petter... petter!,ペッター ペッター!
don't shoot. my robot. you just flank.,撃つな、俺のロボットだ 近づいて、捕縛しろ
give me a sec.,待て
what do you think it's for?,何見たのかな?
i know sara didn't have many friends. she's sort of a loner.,サラは、友達が少なかった ー一人ぼっちだった
how fucking dare you!,どんだけ大胆なのよ!
"oh, okay.",あッ あの...
don't tell a whole lot of little lies.,たくさん嘘をついても 意味がないよ
alpha six foxtrot.,A 6 F
that blacks had voted for the measure,それによると
go clean yourself up.,顔でも洗って来い
we had the dotcom revolution,ドットコム革命があり
fist to fist? it's the brawler's turn!,拳には拳 喧嘩屋の出番だな えっ
there were two and a half million more girls in school.,250万人以上の女子が学校に通うようになりました。
our brave guide saved me and a little girl.,勇敢なガイドが 私と少女を救ったの
i'm not sad.,だから俺は 悲しくなんかないんだってば
sacrifice.,"""犠牲"" ということよ"
what's the big hurry?,急げよ
a cleaner found out around 1 am,掃除員が午前1時頃 発見しました
"hey, that's the media's word, not mine.",おい それはマスコミ発言で 私じゃない
that is more important.,それの方がずっと大事
"altogether, imagine in the future taking a programmed probiotic",想像してみても下さい プログラムされた共生細菌の内服により
we know that jcub came to your club and did a set at your show that night right before he came over to our party.,ジェイ・コブ、ショーにでるはずだったでしょ うちらのパーティに来る前に
"and in doing so, everything would be discovered.",いずれは 全てが突き止められるでしょうね。
call the car,車を呼べ
but genius rose to the challenge.,ところが この天才は挑戦します
marunouchi sore,♪♪「祇園 京町 丸の内 ソレ」
easily forget all the problems i'm having.,ふと忘れてしまう瞬間が あるんですよね
there was a reason for that little story.,如果刀身刺到七花的肉体的话
hold on. take your finger off.,持って 指を抜いて
we have to bring in another data set,別のデータセットを導入してみましょう
"we may not be legally married, but i consider her my wife.",《籍こそ入れてないが 夫婦と思ってるんだ》
great distances across the desert floor to feed to their hatchlings.,砂漠を越える種類までいます
"including pretty sensitive questions, such as this one.",試験でカンニングをしたことがありますか?
12 12 miles per hour.,家庭用ルームランナーの 最大速度は時速12マイルだが
i don't know.,分からんが...
just this morning.,今朝からよ
can it wait until after you buy me coffee?,私にコーヒーをおごるまで待てる?
what does that mean? here we go.,俺が?
did i wake you? i'm almost done.,起こしちゃった?
there's no mention of you on the website.,病院のホームページにも 君の名前はなかった
so the physics is that the bigger the mass of an object,ですから物理では物体の質量が大きいほど
it's okay. it's okay now.,大丈夫 もう大丈夫です
i grew up in china,中国で生まれ
"i really don't know, honestly. um...",正直なところ、知らないんです
"bill, i tried to save them. there's nothing left. let's walk here.",こっちに来て
the moral exercise of putting themselves in that person's head,その人の考えていることを想像したり
nothing. everything is perfect.,何でもない 全てうまくいったよ
i have money and slaves you can take if you want,俺には 金と奴隷があるんだ 欲しいだろ?
so what's going to happen to elsie?,エルシーは どうなる?
i can't take this anymore!,ご飯まだかしら? えっ もうですの?
the one where you said you bought that brooch.,君がブローチを買ったって言ってた店
"patients can see highcontrast edges, they",このような不明瞭な画像が
load her onto the shuttle.,どうしても だ
"and on the c.d., this was on.",そして このCDに先ほどお見せした
where is the governor! ? he fired on everyone.,総督が皆を撃った 全員を殺したの!
to dramatically alter the global environment.,地球環境を激変させるものだ。
"to my parents, riko was",両親にとって 梨子は
where is it?,どこから来たの
he's the father of all these children.,この子たちの父親は ショーンよ
"now, the only one remaining is...",さあ 残るは...
why assume there has to be one?,なぜ関係があると?
the gas gives three to four hours cooking a day,そのガスで一日だいたい3~4時間の調理が可能で
at 66 viale pegaso.,ペガソ通り 66番地
otherwise china and india would be the countries,さもなければ、中国とインドは
"called nimblegen, which is way ahead of affymetrix.",アフィメトリックス社よりずっと進んでいます
let's see,龍太郎には わかったじゃろう。
who are you? tell me your name.,一体 何者だ 名前を言え
yes. but we ordered the right amount.,はい。 多めに仕入れといたはずだぞ。
that's probably how it got that name.,そういうネーミングに なったんだろうって。
"she was a doctor, stan.",彼女は元医者だ スタン
they share our anger.,怒りを分かち合ってる
this is 9 o o 1. i can hear it!,こちら9001...。
so the western population moved over to here.,西欧諸国の国民はこちらに移動しました
and what i hope you can see is that there's all kinds of bacteria there.,見ていただきたいのは、あらゆる細菌がいるということです
we can use different neurons with different variations.,異なるバリエーションのニューロンを使うことができます。
you think that's her?,あれが彼女?
ha ha ha ha ... ...,ハァハァハァハァ...。➡
i can assure you i was fully conscious,この写真を撮影したとき
i told you did you know duke?,話したわよ - デュークは知ってたの?
"ooh, stone roses? no.",スターウォーズ
"her name is twilight, too.",その子もトワイライトって言うの
you promised me.,あなたは約束した
"ethan,i need to see you right now.",イーサン、すぐに来て - すぐ行きます
"and coming up next on cde, the muppet telethon.",次は マペットの チャリティー番組
! those hypocrites. empty altruism will not erase what they've done.,偽善者ども 嘘の利他主義では 過去を消せない
"no, you're gonna have to do a little bit better than that, emile, or my seller's gonna walk.",いえ ほんの少しでいいんですよ エミール でなきゃ 売り手は他へ行ってしまいます
oh? thanks!,えっ...。 ありがとう!
can you tell me,さてその方向は
why are we doing that?,何でそんなことを...
"right? that's impossible, isn't it...",ねえ? 無理ですよね...。
"your boss, he said he was satisfied.",君の上司は満足したって言った。
grrr! i had no choice.,他に方法がなかったんだ
a normal person won't go out with her.,(関口) ま 普通はいかないな
i was thinking about,この前 エルロンのことを考えていた
no bullets?,弾切れか?
"rob, let me go.",放して!
how's that look?,これでどう?
we need to make sure that we're a little bit suspicious,慎重になって考え、
"larry,don't do this. okay,i'll join you for one outside in ten minutes.",ラリー よせよ 後で一緒に外で吸おう
it's the red eyes i can't forget.,忘れられん赤い目だ
"without okazakisan, i could not do anything",岡崎さんがいなかったら、わたし、何も出来ませんでした
"of course webvan went out of business, and about a year and a half later",もちろんWebvanは倒産しましたが その後1年半の間
"you worry too much, harry.",あなたは心配し過ぎ ハリー
warning us about what?,何の警告だ?
and lesbor reminds them that,そしてレズボアはあるグループが自分の物だと
the door...!,扉が。
"hey, jesse. hey.",どうも ジェシー
and then home appliances started coming into being.,そして家電製品が普及し始め
no shit.,本当だ
we don't believe it.,我々は違う
and i would lie there crying at night,私は夜に泣きべそをかくこともありました
do you not know me?,わからないな
even if that voice,<たとえ その声が... >
